20240;1623;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
7085;1624;nk;Nápojové kartóny;1;21;1100 normální HV
7086;1624;p;Papír;2;12;1100 normální HV
7087;1624;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7088;1624;u;Plast;2;12;1100 normální HV
19316;1624;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
19317;1624;ko;Kovy;1;61;1100 mini H SV
7089;1625;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
7090;1625;nk;Nápojové kartóny;1;21;1100 normální HV
7091;1625;p;Papír;2;12;1100 normální HV
7092;1625;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7093;1625;u;Plast;2;12;1100 normální HV
19318;1625;ko;Kovy;1;61;1100 mini H SV
7094;1626;nk;Nápojové kartóny;1;21;1100 normální HV
7095;1626;p;Papír;2;13;1100 normální HV
7096;1626;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7097;1626;u;Plast;2;13;1100 normální HV
19319;1626;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
19320;1626;ko;Kovy;1;61;1100 mini H SV
19864;1626;e;Elektrozařízení;1;41;2150 MEVA SV
7112;1630;nk;Nápojové kartóny;1;21;1100 normální HV
7113;1630;p;Papír;1;13;1100 normální HV
7114;1630;sb;Barevné sklo;1;21;1500 M 1,5 SV
7115;1630;u;Plast;1;13;1100 normální HV
19866;1630;e;Elektrozařízení;1;41;2150 MEVA SV
7116;1631;nk;Nápojové kartóny;1;21;1100 normální HV
7117;1631;p;Papír;1;13;1100 normální HV
7118;1631;sb;Barevné sklo;1;21;1500 M 1,5 SV
7119;1631;u;Plast;1;13;1100 normální HV
7120;1632;nk;Nápojové kartóny;1;21;1100 normální HV
7121;1632;p;Papír;2;12;1100 normální HV
7122;1632;sb;Barevné sklo;1;21;1500 M 1,5 SV
7123;1632;u;Plast;2;13;1100 normální HV
7129;1634;nk;Nápojové kartóny;1;21;1100 normální HV
7130;1634;p;Papír;1;14;1100 normální HV
7131;1634;sb;Barevné sklo;1;21;1500 M 1,5 SV
7132;1634;u;Plast;1;14;1100 normální HV
19321;1634;ko;Kovy;1;61;1100 mini H SV
7133;1635;sc;Čiré sklo;0,5;21;3300 GFA DUO SV
7134;1635;ko;Kovy;1;61;1100 mini H SV
7135;1635;nk;Nápojové kartóny;1;21;1100 normální HV
7136;1635;p;Papír;1;13;1100 normální HV
17143;1635;sb;Barevné sklo;0,5;21;3300 GFA DUO SV
19352;1635;u;Plast;1;13;1100 normální HV
7137;1636;nk;Nápojové kartóny;1;21;1100 normální HV
7138;1636;p;Papír;1;14;1100 normální HV
7139;1636;sb;Barevné sklo;1;21;1500 M 1,5 SV
7140;1636;u;Plast;1;14;1100 normální HV
