"type,""name"",""features_type"",""features_geometry_type"",""features_geometry_coordinates"",""features_properties_objectid"",""features_properties_id"",""features_properties_stationnumber"",""features_properties_stationname"",""features_properties_citydistrictruiancode"",""features_properties_citydistrict"",""features_properties_pristup""";;;;;;;;;;;;;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.09909431300008,30,2478,""0005/ 050"",""ÅÊvÌ©dskÌÁ 307/23"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.440279567000061,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.370931103000032,31,2479,""0005/ 051"",""U Nesypky 1178/6"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.15006313100008,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.10193274000005,32,2480,""0005/ 052"",""Na HÅªebenkÌÁch 1248/27"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.439363178000065,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.370335793000038,33,2488,""0005/ 060"",""Nad Turbovou 459/20"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.14404580100006,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.085995798000056,34,2489,""0005/ 061"",""Nad Turbovou 933/1"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.438631944000065,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.36870286800007,35,2490,""0005/ 062"",""NepomuckÌÁ 139/1"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.146923679000054,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.08177677400005,36,2491,""0005/ 063"",""ZdÌ_kovskÌÁ 2980/1"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.449478140000053,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.324472186000037,37,2528,""0005/ 101"",""Za Å_enskÌ_mi domovy 253/4"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.150443636000034,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.08911687600005,38,2529,""0005/ 102"",""ÅÊtorkÌÁnova 2812/13"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.454921080000076,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.32603406000004,39,2530,""0005/ 103"",""K vodojemu 3072/44"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.13668942900006,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
